n,device_knumber,predicate_knumber,tier,verdict,sample,where_in_document,pair,in_cord_rule1,removed_by_rule2,verdict_note
56,K113346,K073420,SECTION_HEADED,YES,validation_199,,"('K113346', 'K073420')",True,False,
57,K113346,K090060,SECTION_HEADED,YES,validation_199,,"('K113346', 'K090060')",True,False,
58,K113755,K092420,SECTION_HEADED,YES,validation_199,,"('K113755', 'K092420')",True,False,
59,K133153,K073439,SECTION_HEADED,YES,validation_199,,"('K133153', 'K073439')",True,False,
60,K133153,K091797,SECTION_HEADED,YES,validation_199,,"('K133153', 'K091797')",True,False,
61,K133153,K092420,SECTION_HEADED,YES,validation_199,,"('K133153', 'K092420')",True,False,
62,K133514,K072970,SECTION_HEADED,YES,validation_199,,"('K133514', 'K072970')",True,False,
63,K133514,K102293,SECTION_HEADED,YES,validation_199,,"('K133514', 'K102293')",True,False,
64,K133844,K070598,SECTION_HEADED,YES,validation_199,,"('K133844', 'K070598')",True,False,
65,K133844,K124022,SECTION_HEADED,YES,validation_199,,"('K133844', 'K124022')",True,False,
66,K133844,K993714,SECTION_HEADED,YES,validation_199,,"('K133844', 'K993714')",True,False,
67,K141549,K021932,SECTION_HEADED,YES,validation_199,,"('K141549', 'K021932')",True,False,
68,K141549,K102903,SECTION_HEADED,YES,validation_199,,"('K141549', 'K102903')",True,False,
69,K141549,K112028,SECTION_HEADED,YES,validation_199,,"('K141549', 'K112028')",True,False,
70,K141549,K130092,SECTION_HEADED,YES,validation_199,,"('K141549', 'K130092')",True,False,
71,K143595,K120918,SECTION_HEADED,YES,validation_199,,"('K143595', 'K120918')",True,False,
72,K143595,K123045,SECTION_HEADED,YES,validation_199,,"('K143595', 'K123045')",True,False,
73,K143595,K123231,SECTION_HEADED,YES,validation_199,,"('K143595', 'K123231')",True,False,
74,K143595,K140319,SECTION_HEADED,YES,validation_199,,"('K143595', 'K140319')",True,False,
75,K143595,K140770,SECTION_HEADED,YES,validation_199,,"('K143595', 'K140770')",True,False,
76,K143595,K141665,SECTION_HEADED,YES,validation_199,,"('K143595', 'K141665')",True,False,
77,K143717,K081546,PROXIMITY_ONLY,YES,validation_199,,"('K143717', 'K081546')",True,False,
78,K143717,K090692,SECTION_HEADED,YES,validation_199,,"('K143717', 'K090692')",True,False,
79,K143717,K120359,SECTION_HEADED,YES,validation_199,,"('K143717', 'K120359')",True,False,
80,K143717,K121651,SECTION_HEADED,YES,validation_199,,"('K143717', 'K121651')",True,False,
81,K160975,K150583,SECTION_HEADED,YES,validation_199,,"('K160975', 'K150583')",True,False,
82,K161225,K011182,PROXIMITY_ONLY,YES,validation_199,,"('K161225', 'K011182')",True,False,
83,K161225,K030383,PROXIMITY_ONLY,YES,validation_199,,"('K161225', 'K030383')",True,False,
84,K161225,K051704,SECTION_HEADED,YES,validation_199,,"('K161225', 'K051704')",True,False,
85,K161225,K142146,PROXIMITY_ONLY,YES,validation_199,,"('K161225', 'K142146')",True,False,
86,K161225,K162995,PROXIMITY_ONLY,YES,validation_199,,"('K161225', 'K162995')",True,False,
87,K161225,K950099,PROXIMITY_ONLY,YES,validation_199,,"('K161225', 'K950099')",True,False,
88,K161225,K955348,PROXIMITY_ONLY,YES,validation_199,,"('K161225', 'K955348')",True,False,
89,K161225,K973836,PROXIMITY_ONLY,YES,validation_199,,"('K161225', 'K973836')",True,False,
90,K161225,K983583,PROXIMITY_ONLY,YES,validation_199,,"('K161225', 'K983583')",True,False,
91,K161225,K993808,PROXIMITY_ONLY,YES,validation_199,,"('K161225', 'K993808')",True,False,
92,K161280,K142152,SECTION_HEADED,YES,validation_199,,"('K161280', 'K142152')",True,False,
93,K161280,K150619,SECTION_HEADED,YES,validation_199,,"('K161280', 'K150619')",True,False,
94,K170968,K110360,SECTION_HEADED,YES,validation_199,,"('K170968', 'K110360')",True,False,
95,K170968,K131283,SECTION_HEADED,YES,validation_199,,"('K170968', 'K131283')",True,False,
96,K170968,K142117,SECTION_HEADED,YES,validation_199,,"('K170968', 'K142117')",True,False,
97,K170968,K153008,SECTION_HEADED,YES,validation_199,,"('K170968', 'K153008')",True,False,
98,K170968,K162795,SECTION_HEADED,YES,validation_199,,"('K170968', 'K162795')",True,False,
99,K172212,K121569,SECTION_HEADED,YES,validation_199,,"('K172212', 'K121569')",True,False,
100,K172212,K162682,SECTION_HEADED,YES,validation_199,,"('K172212', 'K162682')",True,False,
101,K190123,K003016,PROXIMITY_ONLY,NO,validation_199,,"('K190123', 'K003016')",True,True,
102,K190123,K012091,PROXIMITY_ONLY,NO,validation_199,,"('K190123', 'K012091')",True,True,
103,K190123,K021346,PROXIMITY_ONLY,NO,validation_199,,"('K190123', 'K021346')",True,True,
104,K190123,K061547,PROXIMITY_ONLY,NO,validation_199,,"('K190123', 'K061547')",True,True,
105,K190123,K062693,PROXIMITY_ONLY,NO,validation_199,,"('K190123', 'K062693')",True,True,
106,K190123,K100866,PROXIMITY_ONLY,NO,validation_199,,"('K190123', 'K100866')",True,True,
107,K190123,K101575,SECTION_HEADED,NO,validation_199,,"('K190123', 'K101575')",True,True,
108,K190123,K120599,SECTION_HEADED,NO,validation_199,,"('K190123', 'K120599')",True,True,
109,K190123,K121221,PROXIMITY_ONLY,NO,validation_199,,"('K190123', 'K121221')",True,True,
110,K190123,K122382,PROXIMITY_ONLY,NO,validation_199,,"('K190123', 'K122382')",True,True,
111,K190123,K123434,PROXIMITY_ONLY,NO,validation_199,,"('K190123', 'K123434')",True,True,
112,K190123,K123688,PROXIMITY_ONLY,NO,validation_199,,"('K190123', 'K123688')",True,True,
113,K190123,K130984,PROXIMITY_ONLY,NO,validation_199,,"('K190123', 'K130984')",True,True,
114,K190123,K140676,PROXIMITY_ONLY,NO,validation_199,,"('K190123', 'K140676')",True,True,
115,K190123,K141235,PROXIMITY_ONLY,NO,validation_199,,"('K190123', 'K141235')",True,True,
116,K190123,K142119,PROXIMITY_ONLY,NO,validation_199,,"('K190123', 'K142119')",True,True,
117,K190123,K150133,PROXIMITY_ONLY,NO,validation_199,,"('K190123', 'K150133')",True,True,
118,K190123,K150302,PROXIMITY_ONLY,NO,validation_199,,"('K190123', 'K150302')",True,True,
119,K190123,K170444,SECTION_HEADED,YES,validation_199,,"('K190123', 'K170444')",True,False,
120,K190123,K171181,PROXIMITY_ONLY,NO,validation_199,,"('K190123', 'K171181')",True,True,
121,K190123,K173898,SECTION_HEADED,NO,validation_199,,"('K190123', 'K173898')",True,True,
122,K190123,K180798,PROXIMITY_ONLY,NO,validation_199,,"('K190123', 'K180798')",True,True,
123,K190123,K181598,PROXIMITY_ONLY,NO,validation_199,,"('K190123', 'K181598')",True,True,
124,K190123,K842559,SECTION_HEADED,NO,validation_199,,"('K190123', 'K842559')",True,True,
125,K190123,K932222,SECTION_HEADED,NO,validation_199,,"('K190123', 'K932222')",True,True,
126,K193593,K152943,SECTION_HEADED,YES,validation_199,,"('K193593', 'K152943')",True,False,
127,K193593,K161230,SECTION_HEADED,YES,validation_199,,"('K193593', 'K161230')",True,False,
128,K193593,K163230,SECTION_HEADED,YES,validation_199,,"('K193593', 'K163230')",True,False,
129,K193593,K170592,SECTION_HEADED,YES,validation_199,,"('K193593', 'K170592')",True,False,
130,K193593,K172341,SECTION_HEADED,YES,validation_199,,"('K193593', 'K172341')",True,False,
131,K193593,K192760,SECTION_HEADED,YES,validation_199,,"('K193593', 'K192760')",True,False,
132,K200937,K110280,SECTION_HEADED,YES,validation_199,,"('K200937', 'K110280')",True,False,
133,K200937,K131802,PROXIMITY_ONLY,YES,validation_199,,"('K200937', 'K131802')",True,False,
134,K200937,K133350,PROXIMITY_ONLY,YES,validation_199,,"('K200937', 'K133350')",True,False,
135,K200937,K142381,SECTION_HEADED,YES,validation_199,,"('K200937', 'K142381')",True,False,
136,K200937,K180210,PROXIMITY_ONLY,YES,validation_199,,"('K200937', 'K180210')",True,False,
137,K200937,K180458,PROXIMITY_ONLY,YES,validation_199,,"('K200937', 'K180458')",True,False,
138,K200937,K193365,SECTION_HEADED,YES,validation_199,,"('K200937', 'K193365')",True,False,
139,K200961,K192504,SECTION_HEADED,YES,validation_199,,"('K200961', 'K192504')",True,False,
140,K201793,K171749,SECTION_HEADED,YES,validation_199,,"('K201793', 'K171749')",True,False,
141,K201793,K181380,SECTION_HEADED,YES,validation_199,,"('K201793', 'K181380')",True,False,
142,K203167,K042992,PROXIMITY_ONLY,YES,validation_199,,"('K203167', 'K042992')",True,False,
143,K203167,K070554,PROXIMITY_ONLY,YES,validation_199,,"('K203167', 'K070554')",True,False,
144,K203167,K093736,PROXIMITY_ONLY,YES,validation_199,,"('K203167', 'K093736')",True,False,
145,K203167,K123991,PROXIMITY_ONLY,YES,validation_199,,"('K203167', 'K123991')",True,False,
146,K203167,K173960,PROXIMITY_ONLY,YES,validation_199,,"('K203167', 'K173960')",True,False,
147,K203167,K192946,PROXIMITY_ONLY,YES,validation_199,,"('K203167', 'K192946')",True,False,
148,K213591,K172350,SECTION_HEADED,YES,validation_199,,"('K213591', 'K172350')",True,False,
149,K213591,K202496,SECTION_HEADED,YES,validation_199,,"('K213591', 'K202496')",True,True,
150,K213591,K212433,SECTION_HEADED,YES,validation_199,,"('K213591', 'K212433')",True,False,
151,K213791,K122872,SECTION_HEADED,YES,validation_199,,"('K213791', 'K122872')",True,False,
152,K213791,K172424,SECTION_HEADED,YES,validation_199,,"('K213791', 'K172424')",True,False,
153,K213791,K180347,SECTION_HEADED,YES,validation_199,,"('K213791', 'K180347')",True,False,
154,K213791,K190067,SECTION_HEADED,YES,validation_199,,"('K213791', 'K190067')",True,False,
155,K213791,K201605,SECTION_HEADED,YES,validation_199,,"('K213791', 'K201605')",True,False,
156,K221558,K094037,SECTION_HEADED,YES,validation_199,,"('K221558', 'K094037')",True,False,
157,K221558,K163044,SECTION_HEADED,YES,validation_199,,"('K221558', 'K163044')",True,False,
158,K221558,K190365,SECTION_HEADED,YES,validation_199,,"('K221558', 'K190365')",True,False,
159,K221558,K212348,SECTION_HEADED,YES,validation_199,,"('K221558', 'K212348')",True,False,
160,K221844,K100516,SECTION_HEADED,YES,validation_199,,"('K221844', 'K100516')",True,False,
161,K221844,K122872,SECTION_HEADED,YES,validation_199,,"('K221844', 'K122872')",True,False,
162,K221844,K171808,SECTION_HEADED,NO,validation_199,,"('K221844', 'K171808')",True,True,corrected 2026-09-16: document names its predicates separately and lists this K-number under 'Reference Devices:' — NO under the manual's criterion (genuinely cited as predicates)
163,K221844,K190830,SECTION_HEADED,NO,validation_199,,"('K221844', 'K190830')",True,True,corrected 2026-09-16: document names its predicates separately and lists this K-number under 'Reference Devices:' — NO under the manual's criterion (genuinely cited as predicates)
164,K233507,K072336,SECTION_HEADED,YES,validation_199,,"('K233507', 'K072336')",True,False,
165,K233507,K152298,SECTION_HEADED,NO,validation_199,,"('K233507', 'K152298')",True,True,
166,K233507,K162026,PROXIMITY_ONLY,NO,validation_199,,"('K233507', 'K162026')",True,False,
167,K233507,K182039,SECTION_HEADED,NO,validation_199,,"('K233507', 'K182039')",True,True,
168,K233507,K200113,SECTION_HEADED,NO,validation_199,,"('K233507', 'K200113')",True,True,
169,K233507,K230563,SECTION_HEADED,NO,validation_199,,"('K233507', 'K230563')",True,False,
170,K233507,K231947,PROXIMITY_ONLY,NO,validation_199,,"('K233507', 'K231947')",True,False,
171,K241000,K032151,SECTION_HEADED,YES,validation_199,,"('K241000', 'K032151')",True,False,
172,K241000,K033272,SECTION_HEADED,YES,validation_199,,"('K241000', 'K033272')",True,False,
173,K241000,K040166,SECTION_HEADED,YES,validation_199,,"('K241000', 'K040166')",True,False,
174,K241000,K060515,SECTION_HEADED,YES,validation_199,,"('K241000', 'K060515')",True,False,
175,K241000,K062654,SECTION_HEADED,YES,validation_199,,"('K241000', 'K062654')",True,False,
176,K241000,K063633,SECTION_HEADED,YES,validation_199,,"('K241000', 'K063633')",True,False,
177,K241000,K073529,SECTION_HEADED,YES,validation_199,,"('K241000', 'K073529')",True,False,
178,K241000,K160700,SECTION_HEADED,YES,validation_199,,"('K241000', 'K160700')",True,False,
179,K241000,K212746,PROXIMITY_ONLY,NO,validation_199,,"('K241000', 'K212746')",True,True,corrected 2026-09-16: document names its predicates separately and lists this K-number under 'Reference Devices:' — NO under the manual's criterion (genuinely cited as predicates)
180,K241000,K230295,PROXIMITY_ONLY,NO,validation_199,,"('K241000', 'K230295')",True,True,corrected 2026-09-16: document names its predicates separately and lists this K-number under 'Reference Devices:' — NO under the manual's criterion (genuinely cited as predicates)
181,K241000,K232303,PROXIMITY_ONLY,NO,validation_199,,"('K241000', 'K232303')",True,True,corrected 2026-09-16: document names its predicates separately and lists this K-number under 'Reference Devices:' — NO under the manual's criterion (genuinely cited as predicates)
182,K241000,K233980,PROXIMITY_ONLY,NO,validation_199,,"('K241000', 'K233980')",True,True,corrected 2026-09-16: document names its predicates separately and lists this K-number under 'Reference Devices:' — NO under the manual's criterion (genuinely cited as predicates)
183,K241000,K870730,SECTION_HEADED,YES,validation_199,,"('K241000', 'K870730')",True,False,
184,K241000,K882234,SECTION_HEADED,YES,validation_199,,"('K241000', 'K882234')",True,False,
185,K241000,K884796,SECTION_HEADED,YES,validation_199,,"('K241000', 'K884796')",True,False,
186,K241000,K896048,SECTION_HEADED,YES,validation_199,,"('K241000', 'K896048')",True,False,
187,K241000,K905810,SECTION_HEADED,YES,validation_199,,"('K241000', 'K905810')",True,False,
188,K241000,K923807,SECTION_HEADED,YES,validation_199,,"('K241000', 'K923807')",True,False,
189,K241000,K924940,SECTION_HEADED,YES,validation_199,,"('K241000', 'K924940')",True,False,
190,K241000,K936037,SECTION_HEADED,YES,validation_199,,"('K241000', 'K936037')",True,False,
191,K241000,K943462,SECTION_HEADED,YES,validation_199,,"('K241000', 'K943462')",True,False,
192,K241000,K950010,PROXIMITY_ONLY,YES,validation_199,,"('K241000', 'K950010')",True,False,
193,K241000,K952830,SECTION_HEADED,YES,validation_199,,"('K241000', 'K952830')",True,False,
194,K241000,K961685,SECTION_HEADED,YES,validation_199,,"('K241000', 'K961685')",True,False,
195,K241000,K963117,SECTION_HEADED,YES,validation_199,,"('K241000', 'K963117')",True,False,
196,K241000,K971189,SECTION_HEADED,YES,validation_199,,"('K241000', 'K971189')",True,False,
197,K241000,K971652,SECTION_HEADED,YES,validation_199,,"('K241000', 'K971652')",True,False,
198,K241000,K984158,SECTION_HEADED,YES,validation_199,,"('K241000', 'K984158')",True,False,
199,K251395,K161210,SECTION_HEADED,YES,validation_199,,"('K251395', 'K161210')",True,False,
1,K160652,K080398,SECTION_HEADED,YES,bin11_25_45,predicate,"('K160652', 'K080398')",True,False,
2,K160652,K092375,SECTION_HEADED,YES,bin11_25_45,predicate,"('K160652', 'K092375')",True,False,
3,K160652,K110838,SECTION_HEADED,YES,bin11_25_45,predicate,"('K160652', 'K110838')",True,False,
4,K160652,K122074,SECTION_HEADED,YES,bin11_25_45,predicate,"('K160652', 'K122074')",True,False,
5,K160652,K123850,SECTION_HEADED,YES,bin11_25_45,predicate,"('K160652', 'K123850')",True,False,
6,K160652,K131405,SECTION_HEADED,YES,bin11_25_45,predicate,"('K160652', 'K131405')",True,False,
7,K160652,K141049,SECTION_HEADED,YES,bin11_25_45,predicate,"('K160652', 'K141049')",True,False,
8,K160652,K150714,SECTION_HEADED,YES,bin11_25_45,predicate,"('K160652', 'K150714')",True,False,
9,K160652,K150875,SECTION_HEADED,YES,bin11_25_45,predicate,"('K160652', 'K150875')",True,False,
10,K160652,K151718,SECTION_HEADED,YES,bin11_25_45,predicate,"('K160652', 'K151718')",True,False,
11,K160652,K152681,SECTION_HEADED,YES,bin11_25_45,predicate,"('K160652', 'K152681')",True,False,
12,K163577,K022556,PROXIMITY_ONLY,YES,bin11_25_45,predicate,"('K163577', 'K022556')",True,False,
13,K163577,K032726,SECTION_HEADED,YES,bin11_25_45,predicate,"('K163577', 'K032726')",True,False,
14,K163577,K042344,PROXIMITY_ONLY,YES,bin11_25_45,predicate,"('K163577', 'K042344')",True,False,
15,K163577,K061699,PROXIMITY_ONLY,YES,bin11_25_45,predicate,"('K163577', 'K061699')",True,False,
16,K163577,K061786,PROXIMITY_ONLY,YES,bin11_25_45,predicate,"('K163577', 'K061786')",True,False,
17,K163577,K071535,PROXIMITY_ONLY,YES,bin11_25_45,predicate,"('K163577', 'K071535')",True,False,
18,K163577,K091508,PROXIMITY_ONLY,YES,bin11_25_45,predicate,"('K163577', 'K091508')",True,False,
19,K163577,K120030,SECTION_HEADED,YES,bin11_25_45,predicate,"('K163577', 'K120030')",True,False,
20,K163577,K130899,PROXIMITY_ONLY,YES,bin11_25_45,predicate,"('K163577', 'K130899')",True,False,
21,K163577,K143407,PROXIMITY_ONLY,YES,bin11_25_45,predicate,"('K163577', 'K143407')",True,False,
22,K163577,K161184,PROXIMITY_ONLY,YES,bin11_25_45,predicate,"('K163577', 'K161184')",True,False,
23,K163577,K932755,PROXIMITY_ONLY,YES,bin11_25_45,predicate,"('K163577', 'K932755')",True,False,
24,K163577,K964769,PROXIMITY_ONLY,YES,bin11_25_45,predicate,"('K163577', 'K964769')",True,False,
25,K243839,K010081,SECTION_HEADED,NO,bin11_25_45,compatibility,"('K243839', 'K010081')",True,False,
26,K243839,K013211,SECTION_HEADED,NO,bin11_25_45,compatibility,"('K243839', 'K013211')",True,False,
27,K243839,K032964,SECTION_HEADED,NO,bin11_25_45,compatibility,"('K243839', 'K032964')",True,False,
28,K243839,K041906,SECTION_HEADED,NO,bin11_25_45,compatibility,"('K243839', 'K041906')",True,False,
29,K243839,K050398,SECTION_HEADED,NO,bin11_25_45,compatibility,"('K243839', 'K050398')",True,False,
30,K243839,K051556,SECTION_HEADED,NO,bin11_25_45,compatibility,"('K243839', 'K051556')",True,False,
31,K243839,K051682,SECTION_HEADED,NO,bin11_25_45,compatibility,"('K243839', 'K051682')",True,False,
32,K243839,K060107,SECTION_HEADED,NO,bin11_25_45,compatibility,"('K243839', 'K060107')",True,False,
33,K243839,K070479,SECTION_HEADED,NO,bin11_25_45,compatibility,"('K243839', 'K070479')",True,False,
34,K243839,K071676,PROXIMITY_ONLY,NO,bin11_25_45,compatibility,"('K243839', 'K071676')",True,False,
35,K243839,K100269,SECTION_HEADED,NO,bin11_25_45,compatibility,"('K243839', 'K100269')",True,False,
36,K243839,K102975,PROXIMITY_ONLY,NO,bin11_25_45,compatibility,"('K243839', 'K102975')",True,False,
37,K243839,K103012,SECTION_HEADED,NO,bin11_25_45,compatibility,"('K243839', 'K103012')",True,False,
38,K243839,K121392,SECTION_HEADED,NO,bin11_25_45,compatibility,"('K243839', 'K121392')",True,False,
39,K243839,K122798,PROXIMITY_ONLY,NO,bin11_25_45,compatibility,"('K243839', 'K122798')",True,False,
40,K243839,K141960,SECTION_HEADED,NO,bin11_25_45,compatibility,"('K243839', 'K141960')",True,False,
41,K243839,K162732,SECTION_HEADED,YES,bin11_25_45,predicate,"('K243839', 'K162732')",True,False,
42,K243839,K173583,PROXIMITY_ONLY,NO,bin11_25_45,compatibility,"('K243839', 'K173583')",True,False,
43,K243839,K182502,PROXIMITY_ONLY,NO,bin11_25_45,compatibility,"('K243839', 'K182502')",True,False,
44,K243839,K963313,SECTION_HEADED,NO,bin11_25_45,compatibility,"('K243839', 'K963313')",True,False,
45,K243839,K993082,SECTION_HEADED,NO,bin11_25_45,compatibility,"('K243839', 'K993082')",True,False,
